FromNodeId,ToNodeId
576,1
848,1
973,1
330,4
363,4
394,4
441,4
564,4
568,4
601,4
688,4
714,4
830,4
848,4
912,4
55,5
122,5
170,5
243,5
343,5
472,5
503,5
742,5
830,5
853,5
249,9
268,9
284,9
612,9
52,11
621,12
774,12
670,17
8,20
126,20
170,20
333,20
886,20
102,26
249,26
514,26
612,26
639,26
867,26
52,27
161,27
170,27
243,27
302,27
418,27
814,27
74,28
127,28
576,28
595,28
115,29
74,33
639,33
363,37
472,37
610,37
1,41
5,41
43,41
74,41
236,41
243,41
252,41
268,41
287,41
330,41
363,41
461,41
472,41
503,41
562,41
568,41
576,41
580,41
601,41
612,41
633,41
637,41
657,41
714,41
736,41
742,41
848,41
555,44
567,44
848,44
665,52
767,52
820,52
52,55
117,55
151,55
203,55
248,55
387,55
454,55
462,55
662,55
848,55
868,55
897,55
52,57
291,57
387,57
814,57
848,57
868,57
243,60
298,60
472,60
723,60
64,65
170,65
315,65
610,65
633,65
710,65
830,65
893,65
950,65
595,72
767,72
43,80
8,83
116,83
170,83
333,83
814,83
636,85
13,89
333,89
341,89
967,89
170,95
243,95
313,95
418,95
441,95
472,95
503,95
742,95
830,95
879,95
922,95
995,95
21,96
95,96
122,96
193,96
292,96
350,96
387,96
441,96
577,96
660,96
848,96
898,96
333,98
404,98
406,98
430,98
468,98
819,98
848,98
868,98
967,98
42,99
52,99
103,99
121,99
151,99
252,99
279,99
387,99
404,99
418,99
462,99
463,99
593,99
710,99
985,99
52,100
210,100
116,101
122,101
210,101
248,101
291,101
336,101
599,101
662,101
749,101
819,101
848,101
26,102
268,102
284,102
867,102
52,103
99,103
249,103
418,103
583,103
665,103
749,103
819,103
122,109
151,109
243,109
503,109
803,109
830,109
923,109
26,113
70,113
102,113
252,113
268,113
284,113
392,113
462,113
513,113
612,113
620,113
767,113
867,113
52,117
248,117
279,117
378,117
387,117
418,117
848,117
50,123
199,124
26,127
249,127
462,127
639,127
807,131
52,132
452,132
439,138
170,140
243,140
347,140
418,140
441,140
503,140
879,140
949,140
995,140
26,142
151,142
249,142
282,142
547,142
74,149
302,149
350,154
439,154
472,154
688,154
848,154
912,154
26,156
249,156
576,156
52,158
55,158
121,158
199,158
210,158
236,158
271,158
387,158
455,158
626,158
748,158
814,158
848,158
856,158
55,161
121,161
210,161
387,161
748,161
122,162
241,162
243,162
503,162
540,162
577,162
700,162
787,162
52,166
151,166
343,166
386,166
418,166
734,166
278,170
350,170
441,170
577,170
610,170
723,170
302,174
603,174
610,174
848,174
50,176
868,179
252,184
387,187
557,187
912,187
52,193
291,193
302,193
387,193
562,193
621,193
734,193
774,193
848,193
91,195
161,195
322,195
610,195
633,195
706,195
349,196
439,196
462,196
564,196
576,196
703,196
8,198
52,198
116,198
121,198
533,198
710,198
